,Price,Location,Bedrooms(s),Property Type
1210,"₦ 25,000,000/year",Asokoro Abuja,4,Terrace Duplex
1211,"₦ 1,000,000/year",Efab Metropolis Gwarinpa Abuja,,Room Self Contained
1212,"₦ 5,000,000/year",Katampe Main Katampe Main Abuja,3,Flat
1213,"₦ 130,000,000/year",Asokoro Abuja,7,Detached Duplex With Bq
1214,"₦ 12,000,000/year",Guzape Abuja,4,Terrace Duplex
1215,"₦ 2,300,000/year",Asokoro Asokoro Abuja,,Self Contain
1216,"₦ 6,500,000/year","After Berger Clinic, Life Camp Abuja",2,Magnificently Furnished Flat
1217,"₦ 1,800,000/year",Gwarinpa Abuja,,Standard Room Self Contained
1218,"₦ 1,900,000/year",Mabushi Mabushi Abuja,,Spacioue Self Contain
1219,"₦ 3,500,000/year",Atea 11 Proximity To Police Hq Garki 2 Abuja,,Room Self Contained
1220,"₦ 3,500,000/year",Guzape Guzape Abuja,,Spacious Self Contain
1221,"₦ 2,000,000/year",Wuye Abuja,,Room Self Contained
1222,"₦ 2,900,000/year",Garki 2 Abuja,,A Room Self Contained
1223,"₦ 5,000,000/year",Asokoro Asokoro Abuja,,Room Self Contain
1224,"₦ 1,500,000/year","Wuse Zone 3, Wuse 1 Abuja",,A Room Self Contained
1225,"₦ 2,000,000/year",Gwarinpa Gwarinpa Abuja,1,Flat
1226,"₦ 1,500,000/year",Wuye Abuja,,Room Self Contained
1227,"₦ 7,500,000,000",Banana Island Ikoyi Lagos,6,Waterfront Detached Home
1228,"₦ 2,500,000/year",Asokoro Asokoro Abuja,,Room Self Contain
1229,"₦ 12,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex+ Bq
1230,"₦ 3,000,000/year","Range View Estate Dawaki, Dawaki Abuja",2,Well Built Flat
1231,"₦ 1,000,000/year",Gwarinpa Abuja,,Room Self Contain
1232,"₦ 2,000,000/year",Naf Valley Estate Asokoro Abuja,,Self Contain
1233,"₦ 10,000,000/year",Asokoro Asokoro Abuja,2,Beautiful Bungalow
1234,"₦ 25,000,000/year",Gwarinpa Gwarinpa Abuja,5,Semi Detached Duplex+bq
1235,"₦ 12,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex
1236,"₦ 1,600,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Con
1237,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Newly Built Duplex
1238,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contain
1239,"₦ 4,500,000/year",Brains And Hammers Life Camp Abuja,4,Terrace Duplex
1240,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain
1241,"₦ 15,000,000/year",Katampe Extension Katampe Abuja,4,Terrace Duplex
1242,"₦ 4,500,000/year",Gwarinpa Abuja,,Shop/office Space
1243,"₦ 18,000,000/year",Wuse 2 Abuja,,Strategically Located Shop/office Space
1244,"₦ 7,000,000/year",Wuse2 Wuse 2 Abuja,,Office Space
1245,"₦ 18,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex +bq
1246,"₦ 19,000,000/year",Utako Abuja,4,Terrace Duplex With Bq
1247,"₦ 1,800,000/year",Gwarinpa Abuja,,Room Self Contained
1248,"₦ 1,700,000,000",Ikoyi Lagos,1000,1000sqm Fully Fenced & Gated Land
1249,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1250,"₦ 1,500,000/year",Gwarinpa Abuja,,A Room Self Contained
1251,"₦ 15,000,000/year",Asokoro Asokoro Abuja,4,Terrace Duplex
1252,"₦ 7,500,000/year","Brains And Hammers, Life Camp Abuja",4,Terraced Duplex
1253,"₦ 7,500,000/year",Area 11 Garki 2 Abuja,,Office Space
1254,"₦ 12,000,000/year",Area 11 Garki 2 Abuja,4,Terrace Duplex With A Bq
1255,"₦ 10,000,000/year",Jahi Jahi Abuja,3,Flat
1256,"₦ 9,000,000/year",Asokoro Asokoro Abuja,3,Flat
1257,"₦ 7,000,000/year",Jahi Abuja,2,Newly Built Flat
1258,"₦ 10,000,000/year",Wuye Wuye Abuja,3,Flat
1259,"₦ 30,000,000/year",Maitama Maitama Abuja,5,Detached Duplex
1260,"₦ 7,500,000/year",Wuse Zone 5 Wuse 1 Abuja,3,Bungalow
1261,"₦ 7,000,000/year",Area 11 Garki 2 Abuja,,Warehouse
1262,"₦ 30,000,000/year",Wuse 2 Abuja,,Shop/office Space
1263,"₦ 12,000,000/year",Mabushi Abuja,4,Newly Built Penthouse
1264,"₦ 10,000,000/year",Wuse 2 Wuse 2 Abuja,,Shop /office Space
1265,"₦ 8,000,000/year",Wuse 2 Wuse 2 Abuja,,Shop/office Space
1266,"₦ 12,000,000/year",Gwarinpa Abuja,4,Newly Built Duplex
1267,"₦ 2,000,000/year",Gwarinpa Abuja,,Room Self Contained
1268,"₦ 10,000,000/year",Area 1 Garki 1 Abuja,4,Terrace Duplex
1269,"₦ 105,000,000",Ajah Lekki Phase 2 Lekki Lagos,3,Terrace Duplex With Bq
1270,"₦ 3,500,000/year",Utako Utako Abuja,1,Spacious Flat
1271,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain
1272,"₦ 4,500,000/year",Utako Utako Abuja,1,Flat
1273,"₦ 6,000,000/year",Maitama Maitama Abuja,1,Flat
1274,"₦ 7,500,000/year",Naf Valley Estate Asokoro Asokoro Abuja,3,Flat
1275,"₦ 18,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex+bq
1276,"₦ 7,000,000/year",Wuse Zone2 Wuse 1 Abuja,3,Flat
1277,"₦ 15,000,000/year",Durumi Durumi Abuja,6,Newly Built Semi Detached Duplex+bq
1278,"₦ 15,000,000/year",Maitama Maitama Abuja,3,Magnificent Flat
1279,"₦ 5,000,000/year",Gwarinpa Gwarinpa Abuja,3,Spacious Flat
1280,"₦ 4,000,000/year",Gwarinpa Abuja,2,Flat
1281,"₦ 2,500,000/year",Chikakore Kubwa Kubwa Abuja,2,Newly Built Flat
1282,"₦ 3,500,000/year",Asokoro Abuja,,Room Self Contained
1283,"₦ 6,000,000/year",Jahi Abuja,2,Flat
1284,"₦ 3,000,000/year",Garki 2 Abuja,,Studio Apartment
1285,"₦ 1,700,000/year",Wuse Zone Wuse 1 Abuja,,Room Self Contain
1286,"₦ 2,000,000/year",Wuse 2 Abuja,,Room Self Contained
1287,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1288,"₦ 1,500,000/year",Kado Kado Abuja,,Room Self Contain
1289,"₦ 800,000/year",Gwarinpa Abuja,,Room Self Contained
1290,"₦ 150,000/day","Off Freedom Way, Lekki Phase 1 Freedom Way Lekki Lagos",2,Maisonette
1291,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1292,"₦ 4,000,000/year",Brains And Hammers Life Camp Abuja,2,Flat
1293,"₦ 1,500,000/year",Zone 2 Wuse 1 Abuja,,Room Self Contained
1294,"₦ 1,700,000/year",Wuse Zone Wuse 1 Abuja,,Self Contain
1295,"₦ 3,570,000/year",Jahi By Gilmore Jahi Abuja,,Shop/office Space
1296,"₦ 6,000,000/year",Karmo Abuja,4,New Terraced Duplex With A Bq
1297,"₦ 2,000,000/year",Naf Valley Estate Asokoro Abuja,,Room Self Contained
1298,"₦ 10,000,000/year","Garki Area 2, Garki 1 Abuja",4,Terraced Duplex
1299,"₦ 800,000/year",Gwarinpa Abuja,,Room Self Contain
1300,"₦ 2,000,000/year",Ministers Life Camp Abuja,,Room Self Contained
1301,"₦ 2,500,000/year",Asokoro Asokoro Abuja,,Standard Self Contain
1302,"₦ 40,000,000/year",Asokoro Main Asokoro Abuja,6,Magnificent Duplex
1303,"₦ 10,000,000/year",Guzape Guzape Abuja,3,Flat
1304,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1305,"₦ 50,000,000/year",Maitama Maitama Abuja,7,Detached Duplex
1306,"₦ 35,000,000/year",Asokoro Abuja,4,Duplex + Penthouse
1307,"₦ 5,000,000/year",Brains And Hammers Life Camp Abuja,4,Terraced Duplex
1308,"₦ 1,700,000/year",Gwarinpa Gwarinpa Abuja,,Newly Built Self Contain
1309,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
1310,"₦ 35,000,000/year",Asokoro Asokoro Abuja,5,Terrace Duplex
1311,"₦ 220,000,000",Ikate Lekki Lagos,2,A Spacious Apartment That’s Fully Serviced
1312,"₦ 30,000,000/year",Wuse 2 Wuse 2 Abuja,4,Semi Detached Duplex
1313,"₦ 1,200,000/year",Gwarinpa Abuja,,Room Self Contained
1314,"₦ 20,000,000/year",Wuye Abuja,4,Luxury Terrace Duplex With Bq
1315,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1316,"₦ 15,000,000/year",Gwarinpa Abuja,4,Semi Detached Duplex With Bq
1317,"₦ 1,500,000/year",Gwarinpa Abuja,,A Room Self Contained
1318,"₦ 7,000,000/year",Wuse2 Wuse 2 Abuja,,Shop/office Space
1319,"₦ 15,000,000/year",In A Mini Estate In Kado Kado Abuja,4,Newly Built Detached Duplex
1320,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contained
1321,"₦ 1,000,000/year",Gwarinpa Abuja,,A Room Self Contained
1322,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1323,"₦ 15,000,000/year",Apo Apo Abuja,5,Duplex
1324,"₦ 25,000,000/year",Wuse Zone 7 Wuse 1 Abuja,4,Terrace Duplex
1325,"₦ 18,000,000/year",Jabi Jabi Abuja,4,Detached Duplex With A Bq
1326,"₦ 15,000,000/year",Katampe Abuja,4,Newly Built Terrace Duplex With Bq
1327,"₦ 10,000,000/year",Mabushi Mabushi Abuja,4,Duplex
1328,"₦ 5,000,000/year",Mabushi Mabushi Abuja,3,Flat
1329,"₦ 9,000,000/year",Wuse 2 Abuja,,Shop /office Space
1330,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1331,"₦ 6,000,000/year",Asokoro Abuja,1,Flat
1332,"₦ 7,500,000,000",Banana Island Ikoyi Lagos,6,Waterfront Detached Home
1333,"₦ 12,000,000/year",Guzape Guzape Abuja,4,Magnificently Finished Terrace+bq
1334,"₦ 4,000,000/year",Gwarinpa Abuja,,Shop/office Space
1335,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contained
1336,"₦ 5,000,000/year",Area 11 Garki 2 Abuja,3,Flat
1337,"₦ 25,000,000/year",Asokoro Abuja,4,Semi Detached Duplex With A Bq
1338,"₦ 1,680,000/year","Jahi By Gilmore, Jahi Abuja",,Shop/office Space
1339,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1340,"₦ 5,000,000/year",Wuse 2 Abuja,,Office/shop Space
1341,"₦ 1,500,000/year",Life Camp Abuja,,A Room Self Contained
1342,"₦ 1,800,000/year",Wuye Abuja,,Newly Built Room Self Contained
1343,"₦ 1,500,000/year",Jabi By Ics Drive Jabi Abuja,,A Room Self Contained
1344,"₦ 2,300,000/year",Wuye Abuja,,Room Self Contained
1345,"₦ 9,000,000/year",Wuse 2 Abuja,2,Flat
1346,"₦ 1,800,000/year",Wuye Wuye Abuja,,Room Self Contain
1347,"₦ 2,700,000/year",Wuye Abuja,,Furnished Studio Apartment
1348,"₦ 1,300,000/year",Zone 7 Wuse 1 Abuja,,Room Self Contained
1349,"₦ 2,500,000/year",Wuse 2 Abuja,,Room Self Contained
1350,"₦ 2,000,000/year",Wuye Abuja,,Room Self Contain
1351,"₦ 2,800,000/year",Wuse Zone 5 Wuse 1 Abuja,,Room Self Contain
1352,"₦ 2,200,000/year",Wuye Wuye Abuja,,Room Self Contain
1353,"₦ 20,000,000/year",Oniru Victoria Island Lagos,3,Apartment
1354,"₦ 2,500,000/year",Wuye Wuye Abuja,,Room Self Contain
1355,"₦ 3,000,000/year",Area 3 Garki 1 Abuja,,A Room Self Contained
1356,"₦ 12,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex
1357,"₦ 2,500,000/year",Asokoro Asokoro Abuja,,Spacious Self Contain
1358,"₦ 2,500,000/year",Naf Valley Estate Asokoro Abuja,,Room Self Contained
1359,"₦ 10,000,000/year",Wuse 2 Abuja,,Shop/office Space
1360,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
1361,"₦ 8,000,000/year",Karmo Abuja,4,Terraced Duplex With A Bq
1362,"₦ 3,500,000/year",Guzape Guzape Abuja,,Shop/office Space
1363,"₦ 10,000,000/year",Guzape Abuja,2,Luxury Finished Flat
1364,"₦ 2,500,000/year",Jabi Dakibiyu Dakibiyu Abuja,1,Beautiful Flat
1365,"₦ 850,000/year",Apo Abuja,,Room Self Contained
1366,"₦ 25,000,000/year",Asokoro Abuja,4,Detached Duplex
1367,"₦ 10,000,000/year",Area 11 Garki 2 Abuja,3,Flat
1368,"₦ 7,000,000/year",Kado Estate Kado Abuja,4,Semi Detached Duplex
1369,"₦ 15,000,000/year",Wuse 2 Abuja,,Shop/office Space
1370,"₦ 120,000,000/year",Maitama Abuja,,Twin Duplex
1371,"₦ 1,300,000/year",Fynestone Estate Gwarinpa Abuja,,Room Self Contained
1372,"₦ 9,000,000/year",Jahi By Living Faith Jahi Abuja,4,Newly Built Terrace Duplex With A Room Bq
1373,"₦ 25,000,000/year",Katampe Extension Katampe Abuja,4,Terrace Duplex
1374,"₦ 400,000,000",Ikate Lekki Lagos,3,New Apartment
1375,"₦ 10,000,000/year",Garki 2 Garki 2 Abuja,4,Terrace Duplex
1376,"₦ 99,900,000/year",Wuse 2 Wuse 2 Abuja,,Roof Top Space
1377,"₦ 1,700,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1378,"₦ 12,500,000/year",Fha Guzape Abuja,4,Terraced Duplex With A Bq
1379,"₦ 2,000,000/year",Wuse Zone 3 Wuse 1 Abuja,,Shop/office Space
1380,"₦ 13,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex
1381,"₦ 10,000,000/year",Utako Utako Abuja,3,Flat
1382,"₦ 8,000,000/year",Wuye Wuye Abuja,3,Flat
1383,"₦ 15,000,000/year",Wuse Zone 3 Wuse 1 Abuja,4,Detached Bungalow
1384,"₦ 12,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex+ Bq
1385,"₦ 20,000,000/year",Guzape Abuja,4,Detached Duplex With Bq
1386,"₦ 30,000,000/year",Maitama Maitama Abuja,4,Duplex With A Bq
1387,"₦ 5,000,000/year",Brains And Hammers Life Camp Abuja,4,Terrace Duplex
1388,"₦ 1,900,000/year",Gwarinpa Abuja,,A Room Self Contained
1389,"₦ 20,000,000/year",Guzape Abuja,4,Detached Duplex With A Bq
1390,"₦ 1,000,000/year",Gwarinpa Abuja,,A Room Self Contained
1391,"₦ 8,000,000/year",Wuye Abuja,3,Flat
1392,"₦ 3,000,000/year",Gwarinpa Gwarinpa Abuja,1,Flat
1393,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
1394,"₦ 9,000,000/year",Wuse2 Wuse 2 Abuja,,Shop/office Space
1395,"₦ 280,000,000/sqm",Kolapo Ishola Gra Akobo Ibadan Oyo,4,Newly Built Detached Triplex With Bq And Acs
1396,"₦ 5,000,000/year",Asokoro Abuja,1,Flat
1397,"₦ 5,000,000/year",Wuse2 Wuse 2 Abuja,1,Flat
1398,"₦ 4,000,000/year",Utako Utako Abuja,,Shop/office Space
1399,"₦ 7,000,000/year",Wuse2 Wuse 2 Abuja,,Shop / Office Space
1400,"₦ 15,000,000/year",Utako Utako Abuja,4,Newly Built Terrace Duplex+bq
1401,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Spacious Self Contain
1402,"₦ 25,000,000/year",Asokoro Abuja,4,Semi Detached Duplex With Bq
1403,"₦ 2,500,000/year",Wuye Wuye Abuja,,Room Self Contain
1404,"₦ 4,500,000/year",Wuye Wuye Abuja,1,Flat
1405,"₦ 900,000/year",Gwarinpa Abuja,,Room Self Contained
1406,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contained
1407,"₦ 6,500,000/year",Wuse2 Wuse 2 Abuja,,Shop/ Office Space
1408,"₦ 30,000,000/year",Guzape Guzape Abuja,5,Beautiful Duplex+ Bq
1409,"₦ 20,000,000/year",Katampe Main Katampe Main Abuja,6,Magnificently Finished Duplex+bq
1410,"₦ 6,000,000/year",Asokoro Asokoro Abuja,1,Flat
1411,"₦ 20,000,000/year",Wuye Wuye Abuja,4,Newly Built Terrace Duplex +bq
1412,"₦ 13,000,000/year",Mabushi Mabushi Abuja,4,Beautifully Finished Terrace Duplex+bq
1413,"₦ 12,000,000/year",Mabushi Mabushi Abuja,4,Newly Built Terrace Duplex+bq
1414,"₦ 4,500,000/year",Gwarinpa Gwarinpa Abuja,3,Flat
1415,"₦ 16,000,000/year",Wuse 2 Wuse 2 Abuja,,Strategically Located Shop/office Space
1416,"₦ 150,000/day",Opebi Ikeja Lagos,2,Apartment
1417,"₦ 9,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex With A Room Bq
1418,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Beautifully Finished Self Contain
1419,"₦ 7,000,000/year",Wuse 2 Abuja,,Shop/ Office Space
1420,"₦ 10,880,000/year","Jahi By Gilmore, Jahi Abuja",,Shop/office Space
1421,"₦ 1,500,000/year",Lifecamp Life Camp Abuja,,Standard Self Contain
1422,"₦ 10,000,000/year",Guzape Guzape Abuja,2,Flat
1423,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
1424,"₦ 2,800,000/year",Area 11 Garki 2 Abuja,,Office Space
1425,"₦ 14,000,000/year",Jahi Jahi Abuja,3,Terrace Duplex+ Bq
1426,"₦ 15,000,000/year",Area 2 Garki 1 Abuja,3,Terrace Duplex
1427,"₦ 20,000,000/year",Asokoro Asokoro Abuja,4,Semi Detached Duplex With Bq
1428,"₦ 15,000,000/year",Jahi Jahi Abuja,4,Newly Built Terrace Duplex
1429,"₦ 10,000,000/year",Area 1 By Old Secretariat Garki 1 Abuja,4,Terrace Duplex
1430,"₦ 8,000,000/year",Wuse Zone 3 Wuse 1 Abuja,2,Flat
1431,"₦ 2,000,000/year",Utako Utako Abuja,,Room Self Contain
1432,"₦ 2,000,000/year",Wuse 2 Wuse 2 Abuja,,Room Self Contain
1433,"₦ 2,500,000/year",Jabi Jabi Abuja,,Room Self Contain
1434,"₦ 17,000,000/year",Naf Valley Estate Asokoro Asokoro Abuja,4,Detached Duplex
1435,"₦ 3,500,000/year",Brains And Hammers Life Camp Abuja,2,Flat
1436,"₦ 1,900,000/year",Jabi Dakibyu Jabi Abuja,,Furnished Self Contain
1437,"₦ 90,000,000/year",Victoria Island Lagos,5,Commercial Fully Detached Duplex + 3bq
1438,"₦ 1,500,000/year",Close To Godab Life Camp Abuja,,Room Self Contained
1439,"₦ 4,000,000/year","Efab Metropolis, Karsana Abuja",2,Flat
1440,"₦ 1,000,000/year",Brains And Hammers Life Camp Abuja,,Room Self Contained
1441,"₦ 2,200,000/year",Wuye Wuye Abuja,,Newly Built Self Contain
1442,"₦ 2,500,000/year",Asokoro Asokoro Abuja,,Beautifully Built Self Contain
1443,"₦ 2,500,000/year",Guzape Abuja,,A Room Self Contained
1444,"₦ 15,000,000/year",Wuse Zone 2 Wuse 1 Abuja,4,Semi Detached Bungalow
1445,"₦ 2,500,000/year",Naf Valley Estate Asokoro Asokoro Abuja,,Roomself Contain
1446,"₦ 1,200,000/year",Wuse Zone Wuse 1 Abuja,,Room Self Contained
1447,"₦ 60,000,000/year",Kado Abuja,2,"Commercial Land Measuring 2,000sqm"
1448,"₦ 15,000,000/year",Thl Estate Apo Abuja,4,Newly Built 4bedroom Semi Detached Duplex With Bq
1449,"₦ 15,000,000/year",Behind Coza Guzape Abuja,4,Terrace Duplex
1450,"₦ 12,000,000/year",Jahi Abuja,4,Terrace Duplex
1451,"₦ 30,000,000/year",Guzape Abuja,4,Terrace Duplex
1452,"₦ 20,000,000/year","Legislators Quarter, Apo Abuja",4,Detached Duplex
1453,"₦ 15,000,000/year",Admiralty Estate Asokoro Abuja,4,Terrace Duplex
1454,"₦ 30,000,000/year",Wuse 2 Abuja,4,4bedroom Semi Detached Duplex + Bq For Mixed Use
1455,"₦ 24,000,000/year",Asokoro Abuja,4,Terraced Duplex
1456,"₦ 18,000,000/year",Guzape Abuja,4,Terrace Duplex
1457,"₦ 15,000,000/year",Wuse Zone3 Wuse 1 Abuja,3,3bedroom Bungalow For Rent In Wuse
1458,"₦ 650,000,000","Dantata District Estate, Ahmadu Bello Way Gwarinpa Abuja",6,Fully Detached Duplex With Bq
1459,"₦ 16,000,000/year",Maitama District Maitama Abuja,3,Flat
1460,"₦ 9,000,000/year",Wuse2 Wuse 2 Abuja,,Office Space
1461,"₦ 5,700,000",Mabushi District By V I O Abuja Mabushi Abuja,3,3bedroom Flat For Rent In Mabushi
1462,"₦ 12,000,000/year",Kado Estate Kado Abuja,4,Semi Detached Duplex
1463,"₦ 8,000,000/year",Jahi District By Gilmor Jahi Abuja,3,3bedroom Flat For Rent In Jahi Gilmor
1464,"₦ 5,500,000/year",Sunnyvale Estate Lokogoma Abuja,5,Detached Duplex With Bq
1465,"₦ 12,000,000/year","Mabushi District By V I O, Mabushi Abuja",4,Terraced Duplex With Bq
1466,"₦ 75,000/sqm",By Bannex Road Mabushi Abuja,,Office Space
1467,"₦ 3,000,000/year",Inside Estate In Lifecamp Life Camp Abuja,2,2bedroom Flat For Rent In Lifecamp
1468,"₦ 3,000,000",Jabi District By Lake Jabi Abuja,2,Service 2bedroom Flat For Rent In Jabi
1469,"₦ 2,500,000/year",Mabushi District By V I O Abuja Mabushi Abuja,1,1bedroom Flat For Rent In Mabushi District
1470,"₦ 2,000,000/year",Wuse Zone7 Wuse 1 Abuja,,Office Space For Rent In Wuse
1471,"₦ 30,000,000/year",Off Aminu Kano Crescent Wuse2 Wuse 2 Abuja,5,Semi Detached Duplex
1472,"₦ 6,000,000/year",Jabi District Jabi Abuja,2,2bedroom Flat For Rent In Jabi
1473,"₦ 4,000,000/year",Mabushi District By V I O Abuja Mabushi Abuja,2,2bedroom Flat For Rent In Mabushi District
1474,"₦ 1,300,000/year",Wuse Zone7 Wuse 1 Abuja,,Self Contain For Rent In Wuse
1475,"₦ 10,000,000/year",Mabushi District By V I O Abuja Mabushi Abuja,3,Furnished 3bedroom Flat For Rent In Mabushi
1476,"₦ 8,500,000/year",Mabushi District By V I O Abuja Mabushi Abuja,3,Furnished 3bedroom Flat For Rent In Mabushi
1477,"₦ 6,000,000/year",Katampe Main Abuja,2,Apartment
1478,"₦ 250,000/sqm",Off Ademola Adetokunbo Crescent Wuse 2 Abuja,,Office Space
1479,"₦ 420,000,000",Toll Gate Chevron Lekki Lagos,5,Fully Detached Duplex
1480,"₦ 3,500,000/year",Wuse Zone6 Wuse 1 Abuja,2,2bedroom Flat For Rent In Wuse
1481,"₦ 3,000,000/year",Utako District Utako Abuja,1,1bedroom Flat For Rent In Utako
1482,"₦ 5,500,000",Sun City Lokogoma Abuja,3,s Bungalow With Bq
1483,"₦ 13,000,000/year",Jahi Abuja,4,Terraced Duplex With Bq
1484,"₦ 3,000,000/year",Close To Canaan Estate Life Camp Abuja,1,Flat
1485,"₦ 4,500,000",Gwarinpa Main Gwarinpa Abuja,2,New s Flat
1486,"₦ 3,000,000",Ushafa Ushafa Abuja,2,New s Flat Ensuite
1487,"₦ 10,000,000/year",Garki 1 Abuja,4,Terraced Duplex
1488,"₦ 2,200,000",Dutse Kubwa Abuja,1,Flat
1489,"₦ 5,500,000/year",Lugbe Abuja,3,Semi Detached Duplex
1490,"₦ 3,000,000/year",3rd Avenue Gwarinpa Abuja,2,Bungalow
1491,"₦ 6,500,000",Life Camp Life Camp Abuja,3,s Bungalow
1492,"₦ 8,000,000",Guzape Main Guzape Abuja,3,s Flat Ensuite
1493,"₦ 1,500,000",Scc Road Ushafa Abuja,1,Flat
1494,"₦ 4,000,000",Jahi By Living Faith Church Jahi Abuja,1,Flat
1495,"₦ 3,500,000/year",F01 Kubwa Abuja,2,Newly Built Flat
1496,"₦ 5,000,000/year",Life Camp Life Camp Abuja,3,Terraced Duplex
1497,"₦ 7,500,000/year",Gold City Estate Pyakassa Abuja,4,Duplex To Let In Gold City Lugbe
1498,"₦ 15,000,000",Zone 7 Wuse 1 Abuja,3,3bedroom Alone In Compound To Let In Zone 7 Wuse
1499,"₦ 600,000",Behind Farm Lokogoma Abuja,,Big Size Self Contained Room To Let In Dogongada
1500,"₦ 195,000,000",Vgc Vgc Lekki Lagos,300,"300 Sqms Land Selling @ Vgc, Lekki."
1501,"₦ 15,000,000/year","Galadimawa Roundabout, Galadimawa Abuja",2,2 Units Of Duplex With Bq To Let
1502,"₦ 600,000/year",Near 2nd Transformer Lokogoma Abuja,,Self Contain Room To Let In Dogongada
1503,"₦ 15,000,000/year",Galadimawa Roundabout Galadimawa Abuja,5,Duplex With Guestcharlet To Let In Galadimawa
1504,"₦ 650,000",Behind Marigold Hotel Dogongada Lokogoma Abuja,,Self Contained Room To Let In Dogongada Behind Marigold
1505,"₦ 500,000/year",Around Farm Lokogoma Abuja,,Self Contain Room To Let In Dogongada Behind Efab
1506,"₦ 700,000",Behind Marigold Hotel Lokogoma Abuja,,Self Contained Room To Let In Dogongada
1507,"₦ 40,000,000/year",Maitama Abuja,4,Furnished And Serviced Duplex With Bq To Let
1508,"₦ 1,200,000",Behind Efab Estate Lokogoma Abuja,1,Big Size 1bedroom Flat To Let Behind Farm Dogongada
1509,"₦ 12,000,000/year",Near Gaduwa Estate Gaduwa Abuja,5,New Duplex To Let Near Gaduwa Estate
1510,"₦ 550,000/year",Near Marigold Hotel Lokogoma Abuja,4,4 Units Of Self Contained Room To Let In Dogongada
1511,"₦ 700,000",Dogongada Behind Efab Estate Lokogoma Abuja,,New Self Contained Room To Let By Marigold
1512,"₦ 1,000,000",Behind Efab Estate Lokogoma Abuja,1,1bedroom Flat To Let In Dogongada
1513,"₦ 4,500,000/year",Good Homes Lokogoma Abuja,4,Bungalow Flat To Let In Near Ipent
1514,"₦ 8,000,000/year",Shelter Estate Kaura (games Village) Abuja,4,New Duplex With Bq Available To Let
1515,"₦ 9,000,000/year",Galadimawa Roundabout Galadimawa Abuja,4,Duplex With Bq To Let In Galadimawa
1516,"₦ 5,500,000/year",Apo Wumba Axis Apo Abuja,3,Duplex To Let In An Estate At Apo Wumba
1517,"₦ 1,500,000",Near Valencia Estate Galadimawa Abuja,,Partly Furnished Self Contained Room To Let
1518,"₦ 600,000",Behind Efab Estate Lokogoma Abuja,,Self Contained Room To Let Near Marigold
1519,"₦ 600,000",Behind Marigold Hotel Lokogoma Abuja,,Self Contained Room To Let In Dogongada
1520,"₦ 5,500,000/year",In An Estate Lifecamp Life Camp Abuja,4,Terrace Duplex
1521,"₦ 18,500,000",Zion Ministry Ngor Okpala Imo,,Fortune Garden Premium Estate Land In Ngor Okpala
1522,"₦ 10,000,000/year","In An Estate Gwarinpa Extension, Gwarinpa Abuja",4,Fully Detached Duplex With Bq
1523,"₦ 12,000,000/year",Life Camp Abuja,4,Newly Built Fully Detached Duplex With Bq
1524,"₦ 5,500,000/year",In An Estate Lifecamp Life Camp Abuja,4,Terrace Duplex
1525,"₦ 10,000,000/year",Life Camp Abuja,4,Newly Built Fully Detached Duplex With Bq
1526,"₦ 17,000,000/year",Jahi Gilmore Jahi Abuja,4,Semi Detached Duplex
1527,"₦ 9,000,000/year",Idu Abuja,4,Newly Built Terrace Duplex With Bq
1528,"₦ 7,000,000/year",Gaduwa Gaduwa Abuja,4,Well Finished 4bedroom Terrace Duplex
