Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),District,Price(Float)
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
detached duplex,"₦20,000,000","Jabi, Abuja",5,Duplex,"₦20,000,000.00",Jabi,"20,000,000.00"
flat / apartment,"₦3,700,000","Durumi, Abuja",1,Apartment,"₦3,700,000.00",Durumi,"3,700,000.00"
terraced duplex,"₦12,000,000","Wuye, Abuja",3,Duplex,"₦12,000,000.00",Wuye,"12,000,000.00"
flat / apartment,"₦10,000,000","After Wuye Market, Wuye, Abuja",3,Apartment,"₦10,000,000.00",Wuye,"10,000,000.00"
mini flat (room and parlour),"₦1,600,000","2nd Avenue, Gwarinpa, Abuja",1,Apartment,"₦1,600,000.00",Gwarinpa,"1,600,000.00"
terraced duplex,"₦10,000,000","Mabushi, Abuja",4,Duplex,"₦10,000,000.00",Mabushi,"10,000,000.00"
mini flat (room and parlour),"₦3,700,000","Queen's Court Estate, Durumi, Abuja",1,Apartment,"₦3,700,000.00",Durumi,"3,700,000.00"
terraced duplex,"₦15,000,000","Mabushi, Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
semi-detached duplex,"₦7,500,000","Apo, Abuja",3,Duplex,"₦7,500,000.00",Apo,"7,500,000.00"
flat / apartment,"₦8,000,000","Zone 1, Wuse, Abuja",3,Apartment,"₦8,000,000.00",Wuse,"8,000,000.00"
house,"₦5,000,000","Zone 1, Wuse, Abuja",3,House,"₦5,000,000.00",Wuse,"5,000,000.00"
semi-detached duplex,"₦15,000,000","Durumi, Abuja",6,Duplex,"₦15,000,000.00",Durumi,"15,000,000.00"
terraced duplex,"₦15,000,000","Apo, Abuja",4,Duplex,"₦15,000,000.00",Apo,"15,000,000.00"
detached duplex,"₦17,000,000","Katampe Main Behind Aso Radio, Katampe, Abuja",5,Duplex,"₦17,000,000.00",Katampe,"17,000,000.00"
mini flat (room and parlour),"₦3,500,000","S.o Williams, Utako, Abuja",1,Apartment,"₦3,500,000.00",Utako,"3,500,000.00"
flat / apartment,"₦5,000,000","Zone 1, Wuse, Abuja",3,Apartment,"₦5,000,000.00",Wuse,"5,000,000.00"
flat / apartment,"₦4,000,000","By Nizamiye Hospital, Idu Industrial, Abuja",2,Apartment,"₦4,000,000.00",Idu,"4,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
detached duplex,"₦25,000,000","Kado, Abuja",5,Duplex,"₦25,000,000.00",Kado,"25,000,000.00"
detached duplex,"₦10,000,000","By Shoprite, Apo, Abuja",4,Duplex,"₦10,000,000.00",Apo,"10,000,000.00"
terraced duplex,"₦15,000,000","Katampe (Main), Katampe, Abuja",5,Duplex,"₦15,000,000.00",Katampe,"15,000,000.00"
flat / apartment,"₦25,000,000","Maitama District, Abuja",2,Apartment,"₦25,000,000.00",Maitama,"25,000,000.00"
flat / apartment,"₦13,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦13,000,000.00",Jahi,"13,000,000.00"
flat / apartment,"₦10,000,000","Femi Gbajabiamila Street, Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jabi,"10,000,000.00"
terraced duplex,"₦10,000,000","Area 2, Garki, Abuja",4,Duplex,"₦10,000,000.00",Garki,"10,000,000.00"
flat / apartment,"₦5,000,000","Zone 1, Wuse, Abuja",3,Apartment,"₦5,000,000.00",Wuse,"5,000,000.00"
mini flat (room and parlour),"₦3,500,000","Utako, Abuja",1,Apartment,"₦3,500,000.00",Utako,"3,500,000.00"
terraced duplex,"₦25,000,000","Off Coza, Guzape District, Abuja",4,Duplex,"₦25,000,000.00",Guzape,"25,000,000.00"
detached duplex,"₦10,000,000","By Shoprite, Apo, Abuja",5,Duplex,"₦10,000,000.00",Apo,"10,000,000.00"
semi-detached duplex,"₦20,000,000","Idu Industrial, Abuja",4,Duplex,"₦20,000,000.00",Idu,"20,000,000.00"
flat / apartment,"₦2,700,000","News Engineering Road, Dawaki, Gwarinpa, Abuja",2,Apartment,"₦2,700,000.00",Gwarinpa,"2,700,000.00"
flat / apartment,"₦3,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦3,500,000.00",Gwarinpa,"3,500,000.00"
flat / apartment,"₦10,000,000","Asokoro District, Abuja",2,Apartment,"₦10,000,000.00",Asokoro,"10,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦15,000,000","Asokoro District, Abuja",4,Duplex,"₦15,000,000.00",Asokoro,"15,000,000.00"
flat / apartment,"₦13,000,000","Mabushi, Abuja",3,Apartment,"₦13,000,000.00",Mabushi,"13,000,000.00"
flat / apartment,"$55,000","Maitama District, Abuja",2,Apartment,"₦74,523,350.00",Maitama,"74,523,350.00"
detached duplex,"$60,000","Maitama District, Abuja",4,Duplex,"₦81,298,200.00",Maitama,"81,298,200.00"
flat / apartment,"₦8,500,000","Mabushi, Abuja",3,Apartment,"₦8,500,000.00",Mabushi,"8,500,000.00"
terraced duplex,"₦35,000,000","Wuse 2, Abuja",4,Duplex,"₦35,000,000.00",Wuse,"35,000,000.00"
terraced duplex,"₦8,000,000","Gwarinpa, Abuja",4,Duplex,"₦8,000,000.00",Gwarinpa,"8,000,000.00"
flat / apartment,"₦20,000,000","Wuye, Abuja",3,Apartment,"₦20,000,000.00",Wuye,"20,000,000.00"
terraced duplex,"₦25,000,000","Wuye, Abuja",4,Duplex,"₦25,000,000.00",Wuye,"25,000,000.00"
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00",Jabi,"25,000,000.00"
flat / apartment,"₦20,000,000","Jabi, Abuja",2,Apartment,"₦20,000,000.00",Jabi,"20,000,000.00"
flat / apartment,"₦25,000,000","Jabi, Abuja",3,Apartment,"₦25,000,000.00",Jabi,"25,000,000.00"
flat / apartment,"₦5,000,000","Zone 1, Wuse, Abuja",3,Apartment,"₦5,000,000.00",Wuse,"5,000,000.00"
detached duplex,"₦100,000,000","Maitama District, Abuja",5,Duplex,"₦100,000,000.00",Maitama,"100,000,000.00"
flat / apartment,"₦7,500,000","Jahi, Abuja",1,Apartment,"₦7,500,000.00",Jahi,"7,500,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦6,000,000","Life Camp, Abuja",3,Apartment,"₦6,000,000.00",Life Camp,"6,000,000.00"
flat / apartment,"₦12,000,000","Maitama Main, Maitama District, Abuja",2,Apartment,"₦12,000,000.00",Maitama,"12,000,000.00"
flat / apartment,"₦3,500,000","Maitama Extension, Mpape, Abuja",2,Apartment,"₦3,500,000.00",Maitama,"3,500,000.00"
house,"₦7,000,000","Maitama Extension, Mpape, Abuja",3,House,"₦7,000,000.00",Maitama,"7,000,000.00"
flat / apartment,"₦3,000,000","Life Camp, Abuja",2,Apartment,"₦3,000,000.00",Life Camp,"3,000,000.00"
detached duplex,"₦35,000,000","Wuye, Abuja",5,Duplex,"₦35,000,000.00",Wuye,"35,000,000.00"
detached duplex,"₦10,000,000","Apo Close To Shoprite/ Maigida Gas Station, Apo, Abuja",5,Duplex,"₦10,000,000.00",Apo,"10,000,000.00"
detached duplex,"₦30,000,000","By Godab, Life Camp, Abuja",6,Duplex,"₦30,000,000.00",Life Camp,"30,000,000.00"
flat / apartment,"₦4,000,000","Mabushi, Abuja",2,Apartment,"₦4,000,000.00",Mabushi,"4,000,000.00"
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00",Wuye,"15,000,000.00"
detached bungalow,"₦8,500,000","Gwarinpa, Abuja",4,Bungalow,"₦8,500,000.00",Gwarinpa,"8,500,000.00"
terraced duplex,"₦12,000,000","Dawaki, Gwarinpa, Abuja",5,Duplex,"₦12,000,000.00",Gwarinpa,"12,000,000.00"
flat / apartment,"₦4,000,000","By Nicon Maitama Bridge, Katampe, Abuja",2,Apartment,"₦4,000,000.00",Maitama,"4,000,000.00"
mini flat (room and parlour),"₦2,500,000","By Living Faith, Jahi, Abuja",1,Apartment,"₦2,500,000.00",Jahi,"2,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦5,700,000","Mabushi, Abuja",3,Apartment,"₦5,700,000.00",Mabushi,"5,700,000.00"
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00",Jabi,"25,000,000.00"
flat / apartment,"₦50,000,000","Apo, Abuja",2,Apartment,"₦50,000,000.00",Apo,"50,000,000.00"
flat / apartment,"₦75,000,000","Garki, Abuja",3,Apartment,"₦75,000,000.00",Garki,"75,000,000.00"
detached duplex,"₦15,000,000","Idu Industrial, Abuja",5,Duplex,"₦15,000,000.00",Idu,"15,000,000.00"
flat / apartment,"₦6,000,000","Idu Industrial, Abuja",3,Apartment,"₦6,000,000.00",Idu,"6,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",3,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
terraced duplex,"₦30,000,000","Maitama District, Abuja",4,Duplex,"₦30,000,000.00",Maitama,"30,000,000.00"
flat / apartment,"₦5,700,000","Mabushi, Abuja",3,Apartment,"₦5,700,000.00",Mabushi,"5,700,000.00"
flat / apartment,"₦8,000,000","Guzape District, Abuja",3,Apartment,"₦8,000,000.00",Guzape,"8,000,000.00"
detached duplex,"₦15,000,000","Durumi, Abuja",6,Duplex,"₦15,000,000.00",Durumi,"15,000,000.00"
detached duplex,"₦20,000,000","1st Avenue, Gwarinpa, Abuja",5,Duplex,"₦20,000,000.00",Gwarinpa,"20,000,000.00"
flat / apartment,"₦3,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦3,500,000.00",Gwarinpa,"3,500,000.00"
terraced duplex,"₦20,000,000","Life Camp, Abuja",4,Duplex,"₦20,000,000.00",Life Camp,"20,000,000.00"
flat / apartment,"₦8,000,000","Area 1 Garki Abuja, Area 1, Garki, Abuja",3,Apartment,"₦8,000,000.00",Garki,"8,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
mini flat (room and parlour),"₦2,500,000","Lugbe District, Abuja",1,Apartment,"₦2,500,000.00",Lugbe,"2,500,000.00"
semi-detached duplex,"₦10,000,000","Von Axis, Airport Road, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00",Lugbe,"10,000,000.00"
flat / apartment,"₦15,000,000","Maitama District, Abuja",3,Apartment,"₦15,000,000.00",Maitama,"15,000,000.00"
house,"₦27,000,000","Maitama District, Abuja",2,House,"₦27,000,000.00",Maitama,"27,000,000.00"
flat / apartment,"₦6,000,000","Jahi, Abuja",2,Apartment,"₦6,000,000.00",Jahi,"6,000,000.00"
mini flat (room and parlour),"₦1,500,000","By Aqua Marine Estate, Apo, Abuja",1,Apartment,"₦1,500,000.00",Apo,"1,500,000.00"
flat / apartment,"₦7,000,000","By Cedar Crest, Apo, Abuja",3,Apartment,"₦7,000,000.00",Apo,"7,000,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
semi-detached duplex,"₦27,000,000","Shoprite, Jabi, Abuja",4,Duplex,"₦27,000,000.00",Jabi,"27,000,000.00"
mini flat (room and parlour),"₦2,000,000","Kaura, Abuja",1,Apartment,"₦2,000,000.00",Kaura,"2,000,000.00"
flat / apartment,"₦2,600,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦2,600,000.00",Gwarinpa,"2,600,000.00"
flat / apartment,"₦6,000,000","By Airport Junction, Jabi, Abuja",3,Apartment,"₦6,000,000.00",Jabi,"6,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
semi-detached bungalow,"₦2,200,000","Behind Aso Estate, Opposite Gnoty Dome, Lugbe District, Abuja",2,Bungalow,"₦2,200,000.00",Lugbe,"2,200,000.00"
terraced duplex,"₦20,000,000","Mabushi, Abuja",5,Duplex,"₦20,000,000.00",Mabushi,"20,000,000.00"
flat / apartment,"₦5,500,000","Dawaki, Gwarinpa, Abuja",3,Apartment,"₦5,500,000.00",Gwarinpa,"5,500,000.00"
flat / apartment,"₦15,000,000","By Ebanor Ipent 6 Estate, Lokogoma District, Abuja",6,Apartment,"₦15,000,000.00",Lokogoma,"15,000,000.00"
flat / apartment,"₦20,000,000","Guzape District, Abuja",4,Apartment,"₦20,000,000.00",Guzape,"20,000,000.00"
flat / apartment,"₦5,000,000","By Nigerian Ghana School After Berger Clinic, Life Camp, Abuja",2,Apartment,"₦5,000,000.00",Life Camp,"5,000,000.00"
terraced duplex,"₦18,000,000","Coza Church Axis, Guzape District, Abuja",4,Duplex,"₦18,000,000.00",Guzape,"18,000,000.00"
flat / apartment,"₦10,000,000","Coza Church Axis, Guzape District, Abuja",3,Apartment,"₦10,000,000.00",Guzape,"10,000,000.00"
terraced duplex,"₦25,000,000","Guzape District, Abuja",5,Duplex,"₦25,000,000.00",Guzape,"25,000,000.00"
flat / apartment,"₦5,500,000","Sahad Hospitals, Apo Resettlement, Apo, Abuja",2,Apartment,"₦5,500,000.00",Apo,"5,500,000.00"
terraced duplex,"₦17,000,000","Katampe Extension, Katampe, Abuja",5,Duplex,"₦17,000,000.00",Katampe,"17,000,000.00"
detached duplex,"₦75,000,000","Guzape District, Abuja",5,Duplex,"₦75,000,000.00",Guzape,"75,000,000.00"
flat / apartment,"₦8,500,000","Jabi, Abuja",3,Apartment,"₦8,500,000.00",Jabi,"8,500,000.00"
flat / apartment,"₦5,000,000","Dawaki, Gwarinpa, Abuja",3,Apartment,"₦5,000,000.00",Gwarinpa,"5,000,000.00"
flat / apartment,"₦4,500,000","Lifecamp Extension, Life Camp, Abuja",2,Apartment,"₦4,500,000.00",Life Camp,"4,500,000.00"
flat / apartment,"₦4,000,000","Beger Clinic, Life Camp, Abuja",1,Apartment,"₦4,000,000.00",Life Camp,"4,000,000.00"
semi-detached duplex,"₦35,000,000","Wuye, Abuja",4,Duplex,"₦35,000,000.00",Wuye,"35,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
semi-detached duplex,"₦35,000,000","Wuye, Abuja",5,Duplex,"₦35,000,000.00",Wuye,"35,000,000.00"
flat / apartment,"₦5,000,000","Life Camp, Abuja",2,Apartment,"₦5,000,000.00",Life Camp,"5,000,000.00"
semi-detached duplex,"₦35,000,000","Wuye, Abuja",5,Duplex,"₦35,000,000.00",Wuye,"35,000,000.00"
semi-detached duplex,"₦35,000,000","Wuye, Abuja",4,Duplex,"₦35,000,000.00",Wuye,"35,000,000.00"
flat / apartment,"₦3,000,000","New Site Estate, Lugbe District, Abuja",2,Apartment,"₦3,000,000.00",Lugbe,"3,000,000.00"
flat / apartment,"₦7,000,000","By Zartech, Wuye, Abuja",3,Apartment,"₦7,000,000.00",Wuye,"7,000,000.00"
flat / apartment,"₦8,000,000","Wuye, Abuja",2,Apartment,"₦8,000,000.00",Wuye,"8,000,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
mini flat (room and parlour),"₦6,000,000","By Navy Quarters, Jahi, Abuja",1,Apartment,"₦6,000,000.00",Jahi,"6,000,000.00"
terraced duplex,"₦30,000,000","Jabi, Abuja",4,Duplex,"₦30,000,000.00",Jabi,"30,000,000.00"
flat / apartment,"₦4,500,000","Katampe, Abuja",2,Apartment,"₦4,500,000.00",Katampe,"4,500,000.00"
terraced duplex,"₦11,000,000","Mabushi, Abuja",4,Duplex,"₦11,000,000.00",Mabushi,"11,000,000.00"
flat / apartment,"₦10,000,000","Mabushi, Abuja",4,Apartment,"₦10,000,000.00",Mabushi,"10,000,000.00"
flat / apartment,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,000,000.00",Gwarinpa,"4,000,000.00"
flat / apartment,"₦8,000,000","Mabushi, Abuja",3,Apartment,"₦8,000,000.00",Mabushi,"8,000,000.00"
flat / apartment,"₦4,500,000","Dawaki, Gwarinpa, Abuja",3,Apartment,"₦4,500,000.00",Gwarinpa,"4,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦5,000,000","Zone 1, Wuse, Abuja",3,Apartment,"₦5,000,000.00",Wuse,"5,000,000.00"
semi-detached duplex,"₦20,000,000","By H-medix(tarred Rd, Guzape District, Abuja",4,Duplex,"₦20,000,000.00",Guzape,"20,000,000.00"
flat / apartment,"₦19,000,000","Maitama District, Abuja",3,Apartment,"₦19,000,000.00",Maitama,"19,000,000.00"
semi-detached duplex,"₦35,000,000","Wuye, Abuja",5,Duplex,"₦35,000,000.00",Wuye,"35,000,000.00"
terraced duplex,"₦20,000,000","Guzape District, Abuja",4,Duplex,"₦20,000,000.00",Guzape,"20,000,000.00"
terraced duplex,"₦30,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",5,Duplex,"₦30,000,000.00",Katampe,"30,000,000.00"
flat / apartment,"₦9,000,000","Jahi, Abuja",3,Apartment,"₦9,000,000.00",Jahi,"9,000,000.00"
semi-detached duplex,"₦30,000,000","Kado, Abuja",5,Duplex,"₦30,000,000.00",Kado,"30,000,000.00"
flat / apartment,"₦13,000,000","River Park Estate, Lugbe District, Abuja",3,Apartment,"₦13,000,000.00",Lugbe,"13,000,000.00"
detached duplex,"₦35,000,000","Utako, Abuja",5,Duplex,"₦35,000,000.00",Utako,"35,000,000.00"
detached duplex,"₦12,000,000","By Carters Groove Estate, Apo, Abuja",5,Duplex,"₦12,000,000.00",Apo,"12,000,000.00"
flat / apartment,"₦13,500,000","Jahi, Abuja",3,Apartment,"₦13,500,000.00",Jahi,"13,500,000.00"
flat / apartment,"₦115,000,000","Jahi, Abuja",2,Apartment,"₦115,000,000.00",Jahi,"115,000,000.00"
flat / apartment,"₦85,000,000","Guzape District, Abuja",2,Apartment,"₦85,000,000.00",Guzape,"85,000,000.00"
terraced duplex,"₦12,000,000","Guzape District, Abuja",4,Duplex,"₦12,000,000.00",Guzape,"12,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦9,000,000","Wuse 2, Abuja",3,Apartment,"₦9,000,000.00",Wuse,"9,000,000.00"
flat / apartment,"₦8,000,000","Wuse, Abuja",3,Apartment,"₦8,000,000.00",Wuse,"8,000,000.00"
flat / apartment,"₦8,500,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,500,000.00",Katampe,"8,500,000.00"
flat / apartment,"₦6,000,000","By Nizamiye Hospital, Idu Industrial, Abuja",3,Apartment,"₦6,000,000.00",Idu,"6,000,000.00"
flat / apartment,"₦15,000,000","Asokoro District, Abuja",3,Apartment,"₦15,000,000.00",Asokoro,"15,000,000.00"
flat / apartment,"₦5,000,000","Gwarinpa, Abuja",3,Apartment,"₦5,000,000.00",Gwarinpa,"5,000,000.00"
terraced duplex,"₦25,000,000","Wuse, Abuja",4,Duplex,"₦25,000,000.00",Wuse,"25,000,000.00"
flat / apartment,"₦6,000,000","Near American International School, Durumi, Abuja",3,Apartment,"₦6,000,000.00",Durumi,"6,000,000.00"
flat / apartment,"₦6,000,000","Utako, Abuja",2,Apartment,"₦6,000,000.00",Utako,"6,000,000.00"
detached bungalow,"₦8,500,000","Mab Global Estate, Gwarinpa, Abuja",4,Bungalow,"₦8,500,000.00",Gwarinpa,"8,500,000.00"
terraced duplex,"₦13,000,000","Asokoro Main Diplomatic Zone, Asokoro District, Abuja",3,Duplex,"₦13,000,000.00",Asokoro,"13,000,000.00"
terraced duplex,"₦10,500,000","Life Camp, Abuja",4,Duplex,"₦10,500,000.00",Life Camp,"10,500,000.00"
terraced duplex,"₦10,000,000","Off Jahi/katampe Road, Jahi, Abuja",4,Duplex,"₦10,000,000.00",Jahi,"10,000,000.00"
flat / apartment,"₦11,500,000","Mabushi, Abuja",4,Apartment,"₦11,500,000.00",Mabushi,"11,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦15,000,000","Maitama Main, Maitama District, Abuja",3,Apartment,"₦15,000,000.00",Maitama,"15,000,000.00"
flat / apartment,"₦10,000,000","Mabushi, Abuja",3,Apartment,"₦10,000,000.00",Mabushi,"10,000,000.00"
detached duplex,"₦35,000,000","Utako, Abuja",5,Duplex,"₦35,000,000.00",Utako,"35,000,000.00"
house,"₦4,000,000","River Park Estate, Lugbe District, Abuja",2,House,"₦4,000,000.00",Lugbe,"4,000,000.00"
detached duplex,"₦130,000,000","Abuja Diplomatic Zone, Asokoro District, Abuja",7,Duplex,"₦130,000,000.00",Asokoro,"130,000,000.00"
semi-detached duplex,"₦15,000,000","Katampe (Main), Katampe, Abuja",5,Duplex,"₦15,000,000.00",Katampe,"15,000,000.00"
flat / apartment,"₦11,500,000","Gilmore, Jahi, Abuja",3,Apartment,"₦11,500,000.00",Jahi,"11,500,000.00"
detached bungalow,"₦45,000,000","Wuse 2, Abuja",2,Bungalow,"₦45,000,000.00",Wuse,"45,000,000.00"
terraced duplex,"₦10,000,000","Dantata 3rd Avenue, Gwarinpa, Abuja",4,Duplex,"₦10,000,000.00",Gwarinpa,"10,000,000.00"
flat / apartment,"₦4,500,000","By Peace Apartment, Jahi, Abuja",2,Apartment,"₦4,500,000.00",Jahi,"4,500,000.00"
flat / apartment,"₦6,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",3,Apartment,"₦6,000,000.00",Gwarinpa,"6,000,000.00"
semi-detached duplex,"₦40,000,000","Off 3rd Avenue, Gwarinpa, Abuja",4,Duplex,"₦40,000,000.00",Gwarinpa,"40,000,000.00"
detached bungalow,"₦700,000","Kobi Sariki District, Guzape District, Abuja",2,Bungalow,"₦700,000.00",Guzape,"700,000.00"
detached duplex,"₦90,000,000","Asokoro District, Abuja",6,Duplex,"₦90,000,000.00",Asokoro,"90,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦3,500,000","Opposite River Park Estate, Airport Rd., Lugbe District, Abuja",2,Apartment,"₦3,500,000.00",Lugbe,"3,500,000.00"
flat / apartment,"₦160,000,000","Katampe Extension, Katampe, Abuja",1,Apartment,"₦160,000,000.00",Katampe,"160,000,000.00"
mini flat (room and parlour),"₦8,000,000","Uptown Apartments, Katampe, Abuja",1,Apartment,"₦8,000,000.00",Katampe,"8,000,000.00"
flat / apartment,"₦22,000,000","Ademola Adetokunbo, Wuse 2, Abuja",2,Apartment,"₦22,000,000.00",Wuse,"22,000,000.00"
terraced duplex,"₦20,000,000","Life Camp, Abuja",4,Duplex,"₦20,000,000.00",Life Camp,"20,000,000.00"
flat / apartment,"₦1,500,000","Mabushi, Abuja",3,Apartment,"₦1,500,000.00",Mabushi,"1,500,000.00"
detached duplex,"₦20,000,000","Wuye Main, Wuye, Abuja",5,Duplex,"₦20,000,000.00",Wuye,"20,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",5,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
house,"₦32,000,000","Life Camp, Abuja",9,House,"₦32,000,000.00",Life Camp,"32,000,000.00"
flat / apartment,"₦160,000,000","Katampe Extension, Katampe, Abuja",24,Apartment,"₦160,000,000.00",Katampe,"160,000,000.00"
