,Price,Location,Bedrooms(s),Property Type,Property Category,District,Price_Cleaned,Price(Converted_to_naira),Price(Float)
179,"₦ 2,000,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",3,Decent 3bedroom Flat,Apartment,Lugbe,"₦ 2,000,000","₦2,000,000.00",2000000.0
180,"₦ 2,000,000/year","Area11, Garki, Garki 1 Abuja",1,Flat,Apartment,Garki,"₦ 2,000,000","₦2,000,000.00",2000000.0
181,"₦ 3,500,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",2,Newly Built 2bedroom Flat,Apartment,Durumi,"₦ 3,500,000","₦3,500,000.00",3500000.0
182,"₦ 2,500,000/year","Apo Primary, Apo Abuja",2,Flat With Bq,Apartment,Apo,"₦ 2,500,000","₦2,500,000.00",2500000.0
184,"₦ 5,000,000/year",Guzape Abuja Guzape Abuja,2,Decent 2bedroom Flat,Apartment,Guzape,"₦ 5,000,000","₦5,000,000.00",5000000.0
185,"₦ 16,000,000/year",Guzape Abuja,2,Furnished Flat With Bq,Apartment,Guzape,"₦ 16,000,000","₦16,000,000.00",16000000.0
186,"₦ 4,200,000/year","By Apo Primary, Apo Abuja",3,Flat,Apartment,Apo,"₦ 4,200,000","₦4,200,000.00",4200000.0
187,"₦ 10,000,000/year","By Vio, Mabushi Abuja",3,Duplex,Duplex,Mabushi,"₦ 10,000,000","₦10,000,000.00",10000000.0
188,"₦ 20,000,000/year","Gwarinpa Extension, Gwarinpa, Abuja Gwarinpa Abuja",5,Newly Built Duplex With 2bq,Duplex,Gwarinpa,"₦ 20,000,000","₦20,000,000.00",20000000.0
191,"₦ 15,000,000/year","Utako, Abuja Utako Abuja",3,Flat,Apartment,Utako,"₦ 15,000,000","₦15,000,000.00",15000000.0
192,"₦ 8,000,000/year","Jahi By Next, Jahi, Abuja Jahi Abuja",,Newly Built Bedroom Flat,Apartment,Jahi,"₦ 8,000,000","₦8,000,000.00",8000000.0
193,"₦ 5,000,000/year","Apo Primary, Apo, Abuja Apo Abuja",3,3bedroom Flat Bungalow,Bungalow,Apo,"₦ 5,000,000","₦5,000,000.00",5000000.0
194,"₦ 15,000,000/year","Mabushi Close To Wuse2 By Banex, Mabushi, Abuja Mabushi Abuja",4,Newly Built 4bedroom Duplex With A Bq,Duplex,Wuse,"₦ 15,000,000","₦15,000,000.00",15000000.0
195,"₦ 60,000,000/year","Garki, Abuja Garki 1 Abuja",19,19 Rooms Office Space With Bq,,Garki,"₦ 60,000,000","₦60,000,000.00",60000000.0
196,"₦ 2,500,000/year","Zone B, Apo Resettlement, Apo, Abuja Apo Abuja",,New One Bedroom Flat ( Tarred Road ),Apartment,Apo,"₦ 2,500,000","₦2,500,000.00",2500000.0
197,"₦ 12,000,000/year","Wuye, Abuja Wuye Abuja",3,3bedroom Duplex With Bq (with Swimming Pool),Duplex,Wuye,"₦ 12,000,000","₦12,000,000.00",12000000.0
199,"₦ 12,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",4,4bedroom Duplex With Bq ( Tarred Road ),Duplex,Durumi,"₦ 12,000,000","₦12,000,000.00",12000000.0
200,"₦ 5,000,000/year","Apo Primary, Apo Abuja",3,Duplex,Duplex,Apo,"₦ 5,000,000","₦5,000,000.00",5000000.0
201,"₦ 3,000,000/year",By Berger Clinic Life Camp Abuja,1,Apartment,Apartment,Life Camp,"₦ 3,000,000","₦3,000,000.00",3000000.0
202,"₦ 300,000,000/year","Utako, Abuja Utako Abuja",5,5 Floors Complex (57 Offices & 9 Warehouses),,Utako,"₦ 300,000,000","₦300,000,000.00",300000000.0
203,"₦ 6,000,000/year",Katampe Abuja,2,Flat With Bq,Apartment,Katampe,"₦ 6,000,000","₦6,000,000.00",6000000.0
204,"₦ 16,000,000/year","Wuye, Abuja Wuye Abuja",4,Duplex With Bq,Duplex,Wuye,"₦ 16,000,000","₦16,000,000.00",16000000.0
205,"₦ 3,500,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",2,2bedroom Flat ( 2years Payment ),Apartment,Durumi,"₦ 3,500,000","₦3,500,000.00",3500000.0
206,"₦ 4,000,000/year","Wuse Zone 6, Wuse, Abuja Wuse 1 Abuja",2,Decent 2bedroom Flat,Apartment,Wuse,"₦ 4,000,000","₦4,000,000.00",4000000.0
207,"₦ 200,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",3,Flat,Apartment,Lugbe,"₦ 200,000","₦200,000.00",200000.0
208,"₦ 650,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",,Flat,Apartment,Lugbe,"₦ 650,000","₦650,000.00",650000.0
209,"₦ 5,000,000/year","Area2, Garki, Abuja Garki 2 Abuja",2,Flat,Apartment,Garki,"₦ 5,000,000","₦5,000,000.00",5000000.0
211,"₦ 4,000,000/year","River Park Estate, Lugbe, Airport Road, Abuja Lugbe Abuja",2,Flat,Apartment,Lugbe,"₦ 4,000,000","₦4,000,000.00",4000000.0
212,"₦ 500,000/year","Federal Housing, Lugbe Abuja",,Ensuit Room In A Flat,Apartment,Lugbe,"₦ 500,000","₦500,000.00",500000.0
213,"₦ 1,600,000/year","Wuse Zone 3, Wuse 1 Abuja",,A Furnished Studio Apartment,Apartment,Wuse,"₦ 1,600,000","₦1,600,000.00",1600000.0
214,"₦ 6,000,000/year",Wuye Abuja,2,Newly Built Flat,Apartment,Wuye,"₦ 6,000,000","₦6,000,000.00",6000000.0
216,"₦ 4,500,000/year","Wuse 2, Abuja Wuse 2 Abuja",2,Flat,Apartment,Wuse,"₦ 4,500,000","₦4,500,000.00",4500000.0
217,"₦ 3,500,000/year","Wuse Zone 3, Wuse, Abuja Wuse 1 Abuja",,One Bedroom Flat,Apartment,Wuse,"₦ 3,500,000","₦3,500,000.00",3500000.0
218,"₦ 2,500,000/year","Apo Resettlement Zone E Extension, Apo Abuja",1,Flat,Apartment,Apo,"₦ 2,500,000","₦2,500,000.00",2500000.0
220,"₦ 3,000,000/year","Zone C, Apo Resettlement, Apo Abuja",3,Flat,Apartment,Apo,"₦ 3,000,000","₦3,000,000.00",3000000.0
221,"₦ 4,000,000/year","Durumi By America International School, Durumi, Abuja Durumi Abuja",2,Flat,Apartment,Durumi,"₦ 4,000,000","₦4,000,000.00",4000000.0
223,"₦ 350,000","Federal Housing, Lugbe Abuja",6,Furnished Room In A Flat For 6 Months,Apartment,Lugbe,"₦ 350,000","₦350,000.00",350000.0
225,"₦ 4,500,000/year","1st Avenue, Gwarinpa Abuja Gwarinpa Abuja",2,Decent 2bedroom Flat,Apartment,Gwarinpa,"₦ 4,500,000","₦4,500,000.00",4500000.0
226,"₦ 15,000,000/year","Mabushi By Banex Close To Wuse 2, Mabushi, Abuja Mabushi Abuja",4,Newly Built 4bedroom Duplex With Bq,Duplex,Wuse,"₦ 15,000,000","₦15,000,000.00",15000000.0
227,"₦ 30,000,000/year",Maitama Abuja,6,Commercial Duplex With 2 Rooms Bq,,Maitama,"₦ 30,000,000","₦30,000,000.00",30000000.0
228,"₦ 5,000,000/year","By Ochacho, Life Camp Abuja",3,Newly Built Flat,Apartment,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
229,"₦ 5,500,000/year","Zone 2, Wuse 1 Abuja",3,Flat,Apartment,Wuse,"₦ 5,500,000","₦5,500,000.00",5500000.0
230,"₦ 4,000,000/year","Apo Resettlement, Apo Abuja",2,Bungalow With Bq,Bungalow,Apo,"₦ 4,000,000","₦4,000,000.00",4000000.0
232,"₦ 3,500,000/year","Lokogoma By Urban Shelter, Lokogoma Abuja",3,Flat,Apartment,Lokogoma,"₦ 3,500,000","₦3,500,000.00",3500000.0
233,"₦ 2,000,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",3,Decent 3bedroom Flat,Apartment,Lugbe,"₦ 2,000,000","₦2,000,000.00",2000000.0
234,"₦ 6,000,000/year","Aco Estate, Lugbe, Abuja Lugbe Abuja",5,New Fully Detached 5bedroom Duplex,Duplex,Lugbe,"₦ 6,000,000","₦6,000,000.00",6000000.0
235,"₦ 7,000,000/year","Mabushi, Abuja Mabushi Abuja",3,3bedroom Duplex,Duplex,Mabushi,"₦ 7,000,000","₦7,000,000.00",7000000.0
236,"₦ 8,000,000/year","Wuye, Abuja Wuye Abuja",3,3bedroom Flat With (ac All Round ),Apartment,Wuye,"₦ 8,000,000","₦8,000,000.00",8000000.0
237,"₦ 13,000,000/year","Life Camp By Stella Maris School, Life Camp Abuja Life Camp Abuja",5,Newly Built 5bedroom Duplex,Duplex,Life Camp,"₦ 13,000,000","₦13,000,000.00",13000000.0
239,"₦ 12,000,000/year","4th Avenue, Gwarinpa, Abuja Gwarinpa Abuja",4,Newly Built Duplex With Bq,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
241,"₦ 200,000","Federal Housing, Lugbe Abuja",3,Furnished Room In A Flat For 3 Months,Apartment,Lugbe,"₦ 200,000","₦200,000.00",200000.0
242,"₦ 5,500,000/year","Von Road, Airport Road, Lugbe, Abuja Lugbe Abuja",4,4bedroom Duplex ( Self Compound ),Duplex,Lugbe,"₦ 5,500,000","₦5,500,000.00",5500000.0
245,"₦ 12,000,000/year","Mabushi, Abuja Mabushi Abuja",4,Duplex,Duplex,Mabushi,"₦ 12,000,000","₦12,000,000.00",12000000.0
247,"₦ 180,000,000/year",Maitama Abuja,6,6 Units Of Flat,Apartment,Maitama,"₦ 180,000,000","₦180,000,000.00",180000000.0
248,"₦ 15,000,000/year","Mabushi By Banex Close To Wuse 2, Mabushi, Abuja Mabushi Abuja",4,Newly Built 4bedroom Duplex With Bq,Duplex,Wuse,"₦ 15,000,000","₦15,000,000.00",15000000.0
249,"₦ 6,000,000/year","Kaura By Game Village, Kaura (games Village) Abuja",3,Flat,Apartment,Kaura,"₦ 6,000,000","₦6,000,000.00",6000000.0
250,"₦ 3,000,000/year",Life Camp Abuja,1,Apartment,Apartment,Life Camp,"₦ 3,000,000","₦3,000,000.00",3000000.0
251,"₦ 550,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",,Room In A Flat,Apartment,Lugbe,"₦ 550,000","₦550,000.00",550000.0
252,"₦ 2,500,000/year","Apo Mechanic By Supercell, Apo, Abuja Apo Abuja",2,Big One Bedroom Flat With 2 Toilets,Apartment,Apo,"₦ 2,500,000","₦2,500,000.00",2500000.0
253,"₦ 350,000/year","Federal Housing, Lugbe, Abuja Lugbe Abuja",,Flat,Apartment,Lugbe,"₦ 350,000","₦350,000.00",350000.0
254,"₦ 4,500,000/year",Lokogoma Abuja Lokogoma Abuja,3,Decent 3bedroom Bungalow,Bungalow,Lokogoma,"₦ 4,500,000","₦4,500,000.00",4500000.0
255,"₦ 2,500,000/year","Area1 By Durumi, Durumi, Abuja Garki 1 Abuja",1,Flat,Apartment,Garki,"₦ 2,500,000","₦2,500,000.00",2500000.0
256,"₦ 5,500,000/year",Jahi Abuja Jahi Abuja,2,Decent 2bedroom Flat,Apartment,Jahi,"₦ 5,500,000","₦5,500,000.00",5500000.0
258,"₦ 4,500,000/year","Durumi By Area1, Durumi Abuja Durumi Abuja",2,Flat,Apartment,Durumi,"₦ 4,500,000","₦4,500,000.00",4500000.0
259,"₦ 2,300,000/year","Nut, Opposite River Park, Lugbe, Abuja Lugbe Abuja",2,Decent 2bedroom Flat,Apartment,Lugbe,"₦ 2,300,000","₦2,300,000.00",2300000.0
260,"₦ 2,200,000/year","Life Camp, Abuja Life Camp Abuja",,One Bedroom Flat,Apartment,Life Camp,"₦ 2,200,000","₦2,200,000.00",2200000.0
262,"₦ 5,000,000/year","Paradise 2 Estate, Life Camp, Abuja Life Camp Abuja",2,Decent 2bedroom Flat,Apartment,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
263,"₦ 3,500,000/year","Close By Lokogoma Express, Lokogoma, Abuja Lokogoma Abuja",2,2bedroom Flat,Apartment,Lokogoma,"₦ 3,500,000","₦3,500,000.00",3500000.0
264,"₦ 17,000,000/year",Guzape Abuja Guzape Abuja,4,Newly Built 4bedroom Duplex With Bq,Duplex,Guzape,"₦ 17,000,000","₦17,000,000.00",17000000.0
265,"₦ 6,000,000/year","Wuse 2, Abuja Wuse 2 Abuja",2,Flat,Apartment,Wuse,"₦ 6,000,000","₦6,000,000.00",6000000.0
266,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex With Bq,Duplex,Wuse,"₦ 35,000,000","₦35,000,000.00",35000000.0
267,"₦ 35,000,000/year",Asokoro Abuja,5,Terraced Duplex With Bq,Duplex,Asokoro,"₦ 35,000,000","₦35,000,000.00",35000000.0
268,"₦ 15,000,000",Mabushi Abuja,4,Terrace With Bq,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
269,"₦ 8,000,000/year",Guzape Abuja,2,Block Of Flats,Apartment,Guzape,"₦ 8,000,000","₦8,000,000.00",8000000.0
270,"₦ 15,000,000/year",Wuse 2 Abuja,,Shop Space,,Wuse,"₦ 15,000,000","₦15,000,000.00",15000000.0
271,"₦ 5,500,000/year",Kaura (games Village) Abuja,3,Apartment,Apartment,Kaura,"₦ 5,500,000","₦5,500,000.00",5500000.0
272,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex With Bq,Duplex,Wuse,"₦ 35,000,000","₦35,000,000.00",35000000.0
273,"₦ 25,000,000/year",Mabushi Abuja,3,Penthouse,Duplex,Mabushi,"₦ 25,000,000","₦25,000,000.00",25000000.0
274,"₦ 75,000,000/year",Maitama Abuja,4,Terrace Duplex,Duplex,Maitama,"₦ 75,000,000","₦75,000,000.00",75000000.0
276,"₦ 9,000,000/year",Idu Abuja,4,Terrace Duplex,Duplex,Idu,"₦ 9,000,000","₦9,000,000.00",9000000.0
277,"₦ 8,000,000/year",Mabushi Abuja,3,Apartment,Apartment,Mabushi,"₦ 8,000,000","₦8,000,000.00",8000000.0
278,"₦ 25,000,000",Maitama Abuja,4,Detached Duplex With Bq,Duplex,Maitama,"₦ 25,000,000","₦25,000,000.00",25000000.0
280,"₦ 4,500,000/year",Kaura (games Village) Abuja,2,Flat,Apartment,Kaura,"₦ 4,500,000","₦4,500,000.00",4500000.0
281,"₦ 17,000,000",Jahi Abuja,6,6 Units Of Fully Furnished,,Jahi,"₦ 17,000,000","₦17,000,000.00",17000000.0
283,"₦ 4,000,000/year",Kaura (games Village) Abuja,2,Flat,Apartment,Kaura,"₦ 4,000,000","₦4,000,000.00",4000000.0
284,"₦ 10,000,000/year",Katampe Abuja,3,A Brand New Spacious Flat.,Apartment,Katampe,"₦ 10,000,000","₦10,000,000.00",10000000.0
285,"₦ 25,000,000/year","Diplomatic Zone, Katampe Extension ( Video Is Available) Katampe Extension Katampe Abuja",4,A Well Built Serviced Terrace Duplex + 1bq,Duplex,Katampe,"₦ 25,000,000","₦25,000,000.00",25000000.0
286,"₦ 11,000,000/year","Apo Gudu District, By Ceadercrest Hospital. Gude Apo Abuja",4,A Well Built Semi Detached Duplex + 1bq,Duplex,Apo,"₦ 11,000,000","₦11,000,000.00",11000000.0
287,"₦ 5,000,000/year","Wuse, Zone 1 Abuja. Zone 1 Wuse 1 Abuja",3,A Good Spacious Flat,Apartment,Wuse,"₦ 5,000,000","₦5,000,000.00",5000000.0
288,"₦ 10,000,000/year",Jahi Abuja,3,Newly Built Flat,Apartment,Jahi,"₦ 10,000,000","₦10,000,000.00",10000000.0
289,"₦ 20,000,000/year",Wuse2 District Abuja (the House Can Only Be Used For Office Purpose) Wuse 2 Abuja,4,A Very Good Terrace Duplex + 1bq,Duplex,Wuse,"₦ 20,000,000","₦20,000,000.00",20000000.0
290,"₦ 15,000,000/year",Mabushi Mabushi Abuja,4,A Brand New 4bedroom Terrace Duplex + 1bq,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
291,"₦ 50,000,000/year",Wuse2 District Abuja Wuse 2 Abuja,4,Flat,Apartment,Wuse,"₦ 50,000,000","₦50,000,000.00",50000000.0
292,"₦ 100,000,000/year",Guzape District Abuja Guzape Abuja,5,Detached Duplex,Duplex,Guzape,"₦ 100,000,000","₦100,000,000.00",100000000.0
293,"₦ 25,000,000/year",Apo Legislative Quaters Abuja Apo Abuja,5,A Well Built Semi Detached Duplex,Duplex,Apo,"₦ 25,000,000","₦25,000,000.00",25000000.0
294,"₦ 12,000,000/year",After Coza Church ( Video Of The House Is Attached) Guzape Abuja,4,Apartment,Apartment,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
295,"₦ 15,000,000/year","Diplomatic Zone, Katampe Extension ( Video Is Attached) Katampe Abuja",4,Terraced Duplex With 1 Bq,Duplex,Katampe,"₦ 15,000,000","₦15,000,000.00",15000000.0
296,"₦ 20,000,000/year",Diplomatic Zone Katampe Extension Katampe Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
297,"₦ 13,000,000/year",Off Ademola Adetokunbo Crescent Wuse 2 Abuja,40,A Very Good 40sqms Of Shop Space,,Wuse,"₦ 13,000,000","₦13,000,000.00",13000000.0
298,"₦ 6,000,000/year",Idu Karmo District ( Nizamiyel Hospital) Turkish Hospital. Idu Abuja,3,A Very Good Spacious 3bedroom Flat,Apartment,Idu,"₦ 6,000,000","₦6,000,000.00",6000000.0
300,"₦ 3,500,000/year",Kado District Abuja Kado Abuja,1,Flat,Apartment,Kado,"₦ 3,500,000","₦3,500,000.00",3500000.0
301,"₦ 12,500,000/year",Garki 2 Abuja,6,Spacious 6 Units Of Flat,Apartment,Garki,"₦ 12,500,000","₦12,500,000.00",12500000.0
302,"₦ 10,000,000/year",Life Camp Abuja,3,Newly Built Terrace Duplex With Bq,Duplex,Life Camp,"₦ 10,000,000","₦10,000,000.00",10000000.0
304,"₦ 25,000,000/year","Diplomatic Zone, Katampe Extension, Katampe Abuja",4,A New Semi Detached Duplex With 1 Bq,Duplex,Katampe,"₦ 25,000,000","₦25,000,000.00",25000000.0
305,"₦ 20,000,000/year",Diplomatic Zone Katampe Abuja,4,Newly Built Detached Duplex With Bq,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
306,"₦ 13,000,000/year","Maitama2 District, Along Mpape Road ( Video Of The House Is Attached) Maitama Abuja",4,A Brand New Detached Duplex + 2bqs,Duplex,Maitama,"₦ 13,000,000","₦13,000,000.00",13000000.0
307,"₦ 35,000,000/year","Diplomatic Zone, Katampe Extension Katampe Abuja",6,Spacious Semi Detached Duplex,Duplex,Katampe,"₦ 35,000,000","₦35,000,000.00",35000000.0
308,"₦ 10,000,000/year",Wuye District Abuja ( Video Of The Apartment Is Available) Wuye Abuja,3,A Good Serviced Spacious Flat.,Apartment,Wuye,"₦ 10,000,000","₦10,000,000.00",10000000.0
309,"₦ 25,000,000/year","Diplomatic Zone, Katampe Extension ( Video Is Available On Demand) Katampe Extension Katampe Abuja",5,A Newly Built Detached Duplex + 1bq,Duplex,Katampe,"₦ 25,000,000","₦25,000,000.00",25000000.0
310,"₦ 25,000,000/year",Diplomatic Zone ( Katampe Extension Abuja) Katampe Extension Katampe Abuja,6,Apartment,Apartment,Katampe,"₦ 25,000,000","₦25,000,000.00",25000000.0
311,"₦ 8,000,000/year",Off Gilmore Road ( Video Is Available) Jahi Abuja,3,A Very Good Spacious 3bedroom Flat,Apartment,Jahi,"₦ 8,000,000","₦8,000,000.00",8000000.0
312,"₦ 18,000,000/year","Diplomatic Zone, Katampe Extension. Katampe Extension Katampe Abuja",4,Terraced Duplex,Duplex,Katampe,"₦ 18,000,000","₦18,000,000.00",18000000.0
313,"₦ 15,000,000/year",Maitama Abuja,3,Spacious Flat,Apartment,Maitama,"₦ 15,000,000","₦15,000,000.00",15000000.0
314,"₦ 6,500,000/year","Maitama District Abuja ( Video Of The Apartment Is Attached), Mabushi Abuja",2,Spacious Flat,Apartment,Maitama,"₦ 6,500,000","₦6,500,000.00",6500000.0
315,"₦ 35,000,000/year",Diplomatic Zone ( Katampe Extension Abuja) Katampe Extension Katampe Abuja,5,Detached Duplex,Duplex,Katampe,"₦ 35,000,000","₦35,000,000.00",35000000.0
316,"₦ 25,000,000/year",Diplomatic Zone Katampe Extension Katampe Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Katampe,"₦ 25,000,000","₦25,000,000.00",25000000.0
317,"₦ 8,000,000/year",Karsana Gwarinpa Abuja,3,Newly Built Terraced Duplex,Duplex,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
318,"₦ 12,000,000/year",Jahi Abuja,2,Serviced Flat,Apartment,Jahi,"₦ 12,000,000","₦12,000,000.00",12000000.0
319,"₦ 25,000,000/year",Wuye Abuja,4,Newly Built Detached Duplex With Bq,Duplex,Wuye,"₦ 25,000,000","₦25,000,000.00",25000000.0
320,"₦ 8,000,000/year",Kaura District After Games Village. Kaura (games Village) Abuja,3,A Brand New Flat With 1 Bq,Apartment,Kaura,"₦ 8,000,000","₦8,000,000.00",8000000.0
321,"₦ 10,000,000/year",Mabushi District Abuja ( Video Of The House Is Attached) Mabushi Abuja,4,Spacious Semi Detached Duplex,Duplex,Mabushi,"₦ 10,000,000","₦10,000,000.00",10000000.0
322,"₦ 30,000,000/year",Maitama District Abuja ( Video Of The House Is Attached) Maitama Abuja,4,A New 4bedroom Terrace Duplex + 1bq,Duplex,Maitama,"₦ 30,000,000","₦30,000,000.00",30000000.0
323,"₦ 15,000,000/year",Utako District ( It Can Be Used For Shortlet Apartment) Utako Abuja,3,A Good Serviced & Furnished 3bedroom Flat + 1bq,Apartment,Utako,"₦ 15,000,000","₦15,000,000.00",15000000.0
325,"₦ 25,000,000/year",Maitama District Abuja Maitama Abuja,4,Terraced Duplex,Duplex,Maitama,"₦ 25,000,000","₦25,000,000.00",25000000.0
326,"₦ 12,000,000/year",Wuye District Abuja ( Video Of The Apartment Is Attached) Wuye Abuja,2,Flat,Apartment,Wuye,"₦ 12,000,000","₦12,000,000.00",12000000.0
327,"₦ 8,000,000/year",Wuse 2 Abuja,2,Flat,Apartment,Wuse,"₦ 8,000,000","₦8,000,000.00",8000000.0
328,"₦ 8,000,000",Maitama Main Maitama Abuja,2,Flat In A Serene Environment||maitama,Apartment,Maitama,"₦ 8,000,000","₦8,000,000.00",8000000.0
329,"₦ 7,000,000",Close To Nizamiye Hospital Idu Abuja,,Luxury Three Bedroom Apartment,Apartment,Idu,"₦ 7,000,000","₦7,000,000.00",7000000.0
330,"₦ 2,600,000/year",In An Estate After Living Faith Behind Amac Market Lugbe Abuja,2,Spacious Apartment,Apartment,Lugbe,"₦ 2,600,000","₦2,600,000.00",2600000.0
331,"₦ 4,000,000/year",Gwarinpa Main Gwarinpa Abuja,1,Furnished Apartment,Apartment,Gwarinpa,"₦ 4,000,000","₦4,000,000.00",4000000.0
332,"₦ 5,000,000/year",Before River Park Estate Lugbe Abuja,3,Sharp Standalone Bungalow || Lugbe,Bungalow,Lugbe,"₦ 5,000,000","₦5,000,000.00",5000000.0
333,"₦ 130,000/sqm",Area 11 Garki 1 Abuja,60,"60sqm, 120sqm, 300sqm Office Space || Garki",,Garki,"₦ 130,000","₦130,000.00",130000.0
334,"₦ 15,000,000/year",Ademola Adetokunbo Crescent Wuse 2 Abuja,70,70sqm Shop Space || Wuse 2,,Wuse,"₦ 15,000,000","₦15,000,000.00",15000000.0
335,"₦ 18,000,000",Ecobank Axis Jabi Abuja,3,Furnished Apartment,Apartment,Jabi,"₦ 18,000,000","₦18,000,000.00",18000000.0
336,"₦ 7,500,000/year",By Shop Rite Jabi Abuja,1,Flat,Apartment,Jabi,"₦ 7,500,000","₦7,500,000.00",7500000.0
337,"₦ 3,000,000/year",Lokogoma Junction Gaduwa Abuja,1,Apartment,Apartment,Lokogoma,"₦ 3,000,000","₦3,000,000.00",3000000.0
338,"₦ 20,000,000/year",Utako Abuja,,House,,Utako,"₦ 20,000,000","₦20,000,000.00",20000000.0
339,"₦ 35,000,000/year",Gwarinpa Abuja,4,Detached Duplex With Bq,Duplex,Gwarinpa,"₦ 35,000,000","₦35,000,000.00",35000000.0
340,"₦ 14,000,000/year",Close To National Assembly Quarters Apo Abuja,5,Detached Duplex,Duplex,Apo,"₦ 14,000,000","₦14,000,000.00",14000000.0
341,"₦ 7,000,000/year",Close To Stella Maris Life Camp Abuja,3,Flat With Bq,Apartment,Life Camp,"₦ 7,000,000","₦7,000,000.00",7000000.0
342,"₦ 9,500,000/year",Mabushi Abuja,3,Flat With Bq,Apartment,Mabushi,"₦ 9,500,000","₦9,500,000.00",9500000.0
343,"₦ 1,600,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,600,000","₦1,600,000.00",1600000.0
344,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
347,"₦ 12,000,000/year",Zone E Apo Legislative Quarters Apo Abuja,4,Duplex,Duplex,Apo,"₦ 12,000,000","₦12,000,000.00",12000000.0
348,"₦ 8,000,000/year",Wuse2 Wuse 2 Abuja,,Strategically Located Shop/office Space,,Wuse,"₦ 8,000,000","₦8,000,000.00",8000000.0
349,"₦ 2,000,000/year",Gwarinpa Extension Gwarinpa Abuja,1,Apartment,Apartment,Gwarinpa,"₦ 2,000,000","₦2,000,000.00",2000000.0
350,"₦ 25,000,000/year",Guzape Guzape Abuja,5,Semi Detached Duplex,Duplex,Guzape,"₦ 25,000,000","₦25,000,000.00",25000000.0
351,"₦ 15,000,000/year",Guzape Abuja,5,Terrace Duplex With Bq,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
